review_id,group_hash,source_stems,copy_statuses,review_image,review_decision
13,22abfaea335d6a515b2128fa73e9c2c1ce8a858ba382d024bc1cfb0fd795c774,(722);gingivitis_(1397),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_013_22abfaea335d.jpg,
14,239bffc06fdf6a200ffa81bf802e1f05d1e2b2159c2039766fd24d87940a4c4f,(386);(407);gingivitis_(522);gingivitis_(535);gingivitis_(605);gingivitis_(763),1;1;0;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_014_239bffc06fdf.jpg,
15,2a318ee753f1041e87a3754779155cc40e682db046478e856f02270087432b24,(776);gingivitis_(1311);gingivitis_(1446);gingivitis_(1484),1;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_015_2a318ee753f1.jpg,
16,2a680295ac7a4a840a764c4ce7739daafe849a5b994f058cc0e6677e0a667808,(583);(636);(665);(692);(709);gingivitis_(1122);gingivitis_(1222);gingivitis_(1281),1;1;1;1;1;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_016_2a680295ac7a.jpg,
17,30ba7a02e67d81e93d99f738232085701eafd259959307105a2201219adf2a70,(744);gingivitis_(1499),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_017_30ba7a02e67d.jpg,
18,36686d1f02fb2a0e8767d1fe512a3dd189143d87a3828de58f36d120002e8e44,(721);gingivitis_(1391);gingivitis_(1393),1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_018_36686d1f02fb.jpg,
19,39c1814ee1705e7cd40f1f9ad7bd54c4352cf52f7423b205e04ae8f2a749bb85,(242);(263);gingivitis_(264);gingivitis_(275);gingivitis_(345);gingivitis_(503),1;1;0;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_019_39c1814ee170.jpg,
20,3b6ecb0867a58390ac0dabb1960699b5d27421c9d19a27a979efb38e64330fc9,(199);gingivitis_(399),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_020_3b6ecb0867a5.jpg,
21,4142fda32532e73c70e2d5475a172845c216d271fd9267c77f7c12476a43f269,(2);gingivitis_(100),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_021_4142fda32532.jpg,
22,458d6051d8be7223526b4700d204d80eec46a3ab8651aa4ff03ab3e8d9c57b53,(818);(839);gingivitis_(1302);gingivitis_(1315);gingivitis_(1385);gingivitis_(1543),1;1;0;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_022_458d6051d8be.jpg,
23,49e7daf248e63b87c6526df52ca39b8f8567b5bbcfa47f0fed08bf198d37e762,(603);(633);gingivitis_(1052),1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_023_49e7daf248e6.jpg,
24,53fdc2fa68c2c3dbddf3f28f25499bc2eb3d9c588a080e1ba301318999ccc318,(156);gingivitis_(448),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_024_53fdc2fa68c2.jpg,
25,5931b081d373aab18a1a677c915d4c99a02237c6d1b96b4bfbd2f34b4364bce7,(1135);gingivitis_(2021),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_025_5931b081d373.jpg,
26,5ac4313548312bc09c8b97b8ab752f5eb67c5dd20b636840d219cc9d7e5f8055,(1024);gingivitis_(1936),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_026_5ac431354831.jpg,
27,5bb77b5d46ef7022db23a85795d4a8412a3f034c7aa223b0d8b9284132af98a7,(146);gingivitis_(357),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_027_5bb77b5d46ef.jpg,
28,5deaba05d1403a2be31c3f85d3127b609363ab251cbc85ebc5ccb2af4df49c46,(119);(98);gingivitis_(18);gingivitis_(246);gingivitis_(5);gingivitis_(88),1;1;0;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_028_5deaba05d140.jpg,
29,5f99a65add8d5e261e7e95ca6d33e3c52f077716cfd1ca3caef406d2bb784951,(1101);gingivitis_(1949);gingivitis_(1991),1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_029_5f99a65add8d.jpg,
30,616db2ce10915aa37989f2fd8a7f0418d5f8a9dbebfbbf2c1943148a3eddc729,(1002);(868);(959);gingivitis_(1678);gingivitis_(1743),1;1;1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_030_616db2ce1091.jpg,
31,66b236eb4529b88e8e1f34ac2093073f85d0d1bf681e620e29c61dbf9b527576,(580);(671);(714);gingivitis_(1158);gingivitis_(1223),1;1;1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_031_66b236eb4529.jpg,
32,6b44a448d050f554595140aa9dcf907f04c19e4f018a32cd3c0e71bf78d0e795,(201);gingivitis_(272),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_032_6b44a448d050.jpg,
33,72c618cfc7e6025de097a6305c5125a1c38b412a94952adc87a7745d487ba36e,(352);(410);gingivitis_(520);gingivitis_(619);gingivitis_(767),1;1;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_033_72c618cfc7e6.jpg,
34,774ab80f3e56096afafc91982f043062f8069908a5c9aa40dc0d5bc55e1d4986,(1072);(1130);gingivitis_(1820);gingivitis_(1919);gingivitis_(2067),1;1;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_034_774ab80f3e56.jpg,
35,77e77dbe248f913c4526e58b811b1583b482f6cd9dfccb0a64a44c136064361c,(600);gingivitis_(1239),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_035_77e77dbe248f.jpg,
36,783c00ca12379c3c7bedac7fb06095f97ddf1945394d614c13f5b6aaa0718847,(784);(842);gingivitis_(1300);gingivitis_(1399);gingivitis_(1547),1;1;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_036_783c00ca1237.jpg,
37,7a2ce727fbe4e0417421e558408a343074710076288d95acb2eebbaeef399fc1,(1153);gingivitis_(2169);gingivitis_(2171),1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_037_7a2ce727fbe4.jpg,
38,7d8e28b2b30fd12e11fb3380a5ae9dfa704e0c6b8a8a762c973299e459ac2b9a,(888);gingivitis_(1759),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_038_7d8e28b2b30f.jpg,
39,7e93147f043b198ac20116045efcced445b2380f487249c935f1f8fed4bddcc3,(991);gingivitis_(1761),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_039_7e93147f043b.jpg,
40,802d6cdb11d43e0f0bc498b761c2e5f5bd49fc7ded5f02a36d30c698eed7e60a,(1168);gingivitis_(2191),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_040_802d6cdb11d4.jpg,
41,82511e2b61fff404d9e201398828b79aa1986e6d6795f512a38688046cef4965,(737);gingivitis_(1431),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_041_82511e2b61ff.jpg,
42,8300c64086ab9641acb9a508396950a86b8e52d92f32177e58a13f3c493a4b1f,(154);(237);gingivitis_(389);gingivitis_(431),1;1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_042_8300c64086ab.jpg,
43,8652a2cc2c56104ff02212aa0f7c7349175f8cc6f1707e81fdf517052b89ee36,(208);(266);gingivitis_(262);gingivitis_(359);gingivitis_(507),1;1;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_043_8652a2cc2c56.jpg,
44,8c92efd9f44179c4f73aef53aba9311bac7874fb4b8fe927476a64f273060071,(928);(986);gingivitis_(1560);gingivitis_(1659);gingivitis_(1807),1;1;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_044_8c92efd9f441.jpg,
45,8cc699352ddd1c712a4c64ddf5bd41dfddc533fce04052a4f8c5a7d3cc0d886c,(788);gingivitis_(1355),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_045_8cc699352ddd.jpg,
46,8f8507928958cd47f75c038f5c2e4943d056d016c7720ca9c77b9b4b324bd579,(891);(921);gingivitis_(1572),1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_046_8f8507928958.jpg,
47,9177115c094bf97587192aacd676d49a3e6812ffd873f64419a34af922393525,(577);gingivitis_(1131);gingivitis_(1133),1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_047_9177115c094b.jpg,
48,95020f2711b4307e59eed97313a13d59cd89b1b6736709bd183e42d32e63505b,(1167);(1207);(1231);(1232);gingivitis_(2214),1;1;1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_048_95020f2711b4.jpg,
49,988b5743483c0690b1a2479063a0ff0e3422f0ddc50394649f58a127ebd147bf,(1176);gingivitis_(2274),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_049_988b5743483c.jpg,
50,98ffd382f2c5d459d75fdf88ef41f8ed966bfc6db600d9fe49383906b963ce87,(148);(239);(282);gingivitis_(378);gingivitis_(443),1;1;1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_050_98ffd382f2c5.jpg,
51,9b34ebf1b00b83d9c7f9723275001aed134f08874cc2d4f8f233c714e59f957a,(1216);(1274);gingivitis_(2079);gingivitis_(2322),1;1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_051_9b34ebf1b00b.jpg,
52,9c628a22ca6464913503f998c7c21ec9674a38cc38f4de6e1b0340add5b37c55,(595);(639);(670);(719);gingivitis_(1237),1;1;1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_052_9c628a22ca64.jpg,
53,9dead904b7262088db11c0e51db18f0c5348d8ba0c9e263429bc9d707bf13182,(1156);(1290);gingivitis_(2193);gingivitis_(2258),1;1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_053_9dead904b726.jpg,
54,a18c34e0b0708b6eeb023cc5dfc858cc950d970315fd7522b2fdb265a01185a7,(879);(919);(943);(944);gingivitis_(1699),1;1;1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_054_a18c34e0b070.jpg,
55,a3a2d777f6db188b03bdd132178b90cacb472b5918700c7de0a91d25f32a3a23,(415);gingivitis_(721),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_055_a3a2d777f6db.jpg,
56,a4962192e93a76637e3a70bcf7b05e7cff0fdb59c7e5977d1af3da6b597f1215,(289);gingivitis_(613),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_056_a4962192e93a.jpg,
57,a79a02db572118651fa3791bdbf35099d0548f19dd98906e7fa37c332cfe130e,(145);gingivitis_(351);gingivitis_(353),1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_057_a79a02db5721.jpg,
58,a8f8f5a1031accd46e5cd883ed40dd38322f195e3a750fa7e2fed1c070e30718,(1023);(1063);(1087);(1088);gingivitis_(1959),1;1;1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_058_a8f8f5a1031a.jpg,
59,ac31ffb4bdad55aed093c9e90328c1c517a833a1116cf972c93e0041a4370f1d,(847);gingivitis_(1501),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_059_ac31ffb4bdad.jpg,
60,b874918f177df9a9864eb70cc5a97a74ef7b962151837a83901f86276b9a313a,(703);gingivitis_(1241),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_060_b874918f177d.jpg,
61,b8ca85c1e8b75b03279e6a3105289399072833140313b0645b6c4469b842df8d,(15);(55);(79);(80);gingivitis_(142),1;1;1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_061_b8ca85c1e8b7.jpg,
62,b9323e6587c7341fd33054a943ec6029fa8d27c6fa1eb6f8ccb696ff4d06eba9,(736);gingivitis_(1416),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_062_b9323e6587c7.jpg,
63,c37140af85091f06dae2aa23c64a294801d828ae9c65577db49bf1105f624486,(1032);gingivitis_(2019),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_063_c37140af8509.jpg,
64,c4fd4d8161cb0fb39933e2afb9ad247346ddb2fcdf0ca11a882bb1b6d819139b,(1106);(1127);gingivitis_(1822);gingivitis_(1835);gingivitis_(1905);gingivitis_(2063),1;1;0;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_064_c4fd4d8161cb.jpg,
65,c63480dac3054f48ce2de6326c5636d79d3423c42d62c90c6af0f54fc84ff8e9,(127);gingivitis_(204),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_065_c63480dac305.jpg,
66,c7b6a9d6e50ac0b9e519126b2d778c6b035b84effda24433b83b5e5173bed06b,(724);(815);(858);gingivitis_(1418);gingivitis_(1483),1;1;1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_066_c7b6a9d6e50a.jpg,
67,c8d1c8e742a75c693897d0922f8771e60d8a33c285e21b059ae7b1930ac3be3c,(735);(799);(800);gingivitis_(1439),1;1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_067_c8d1c8e742a7.jpg,
68,c92092dc7bcb39b0853fe74c5f1eeadf395bff1795e9fe48c1abce6aaded0e6f,(578);gingivitis_(1137),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_068_c92092dc7bcb.jpg,
69,c93184f18362acd454c410973326841f157f539bb7ffa6ec461c16ac315bf4ad,(122);(64);gingivitis_(250);gingivitis_(3),1;1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_069_c93184f18362.jpg,
70,cae0fdb07ad795e0ea743c0cc42d137d8a555e17effddf717b82aa57864dd016,(1);gingivitis_(96),1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_070_cae0fdb07ad7.jpg,
71,cb38eb8daf14f491b82835d71dc519c9f84c9c037dd55304e90dc7fda885477b,(1035);(1065);gingivitis_(1832),1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_071_cb38eb8daf14.jpg,
72,d2dba2492fc303ae3d54a98a855ca2840981b93eee361669828ad5e568a7d23c,(1250);(1271);gingivitis_(2081);gingivitis_(2093);gingivitis_(2163);gingivitis_(2318),1;1;0;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_072_d2dba2492fc3.jpg,
73,d45c12dfbe6f3a9fd44c7c0638209e23c9f7ad004636fb0d978f7477fdd4fa36,(674);(695);gingivitis_(1042);gingivitis_(1055);gingivitis_(1125);gingivitis_(1283),1;1;0;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_073_d45c12dfbe6f.jpg,
74,d9fe3b5367397d877175c2691645ea9c9263f9dd0e01773d51aba3b97a78828e,(747);(777);gingivitis_(1312),1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_074_d9fe3b536739.jpg,
75,dc6224bb6db65f8d3adf35352f213d08d8ac5a32f69029e7ba717b67ee9d065a,(142);gingivitis_(135);gingivitis_(256),1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_075_dc6224bb6db6.jpg,
76,dced93f1607483930c1aad8cb156d836c3c20a8731eec69e22ca0507af26f547,(727);(780);(809);(836);(853);gingivitis_(1382);gingivitis_(1482),1;1;1;1;1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_076_dced93f16074.jpg,
77,ddc82d7349ec623cb6a4f59c30d293af52e8b838bf69755b873ae1aa7072d0ea,(303);(343);(367);(368);gingivitis_(659),1;1;1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_077_ddc82d7349ec.jpg,
78,e1b3a1b9a7774aeb1b6692574e494832d1369d402c569bc19b80bffff18e4e84,(138);(4);(95);144;87;gingivitis_(121);gingivitis_(186),1;0;1;1;1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_078_e1b3a1b9a777.jpg,
79,eb9096d21539f21ef17a90775263e8d3c2a996922b3d4e4438f93f50e5498cdc,(865);gingivitis_(1651);gingivitis_(1653),1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_079_eb9096d21539.jpg,
80,ecf10426b917270e54c847a5dd945aa29b66542de3a8196cb694a257a80c89b1,(581);gingivitis_(1129);gingivitis_(1130),1;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_080_ecf10426b917.jpg,
81,f29f955b6427f1d659ae4600ee8d6f591a39f1404c258c18989b62d1317b0ded,(920);gingivitis_(1571);gingivitis_(1706);gingivitis_(1744),1;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_081_f29f955b6427.jpg,
82,f5daeb6689d5a37fc76ddcac43bae76617a7f0525c7cd9d3071e86843869b4aa,(24);117;90;gingivitis_(202),0;1;1;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_082_f5daeb6689d5.jpg,
83,fcb50c56879e8d1084acc4c80ccbb13f9471bf71f7357363a2a088bba5dd6937,(640);(698);gingivitis_(1040);gingivitis_(1139);gingivitis_(1287),1;1;0;0;0,C:\Users\16024\Desktop\齿镜\calculus-unetpp\artifacts\conflict_review\conflict_083_fcb50c56879e.jpg,
